block_id,subgroup,sub_class,current_value,actual_value
ICR7_T2,Piling,Marking,5724,5724
ICR7_T2,Piling,Incomplete,0,5724
ICR5_T1,Modules,Complete,310,954
ICR5_T1,Modules,Partially,1,954
ICR5_T1,Modules,Incomplete,643,954
ICR5_T1,MMS,Partially,17,954
ICR5_T1,MMS,Complete,922,954
ICR5_T1,MMS,Incomplete,15,954
ICR5_T1,Piling,Pile Casting,5721,5724
ICR5_T1,Piling,Auguring,5724,5724
ICR5_T1,Piling,Marking,5724,5724
ICR5_T1,Piling,Incomplete,0,5724
ICR8_T1,Modules,Complete,435,954
ICR8_T1,Modules,Partially,11,954
ICR8_T1,Modules,Incomplete,508,954
ICR8_T1,MMS,Partially,67,954
ICR8_T1,MMS,Complete,885,954
ICR8_T1,MMS,Incomplete,2,954
ICR8_T1,Piling,Pile Casting,5712,5724
ICR8_T1,Piling,Auguring,5712,5724
ICR8_T1,Piling,Marking,5712,5724
ICR8_T1,Piling,Incomplete,12,5724
ICR15_T1,Modules,Complete,0,966
ICR15_T1,Modules,Partially,0,966
ICR15_T1,Modules,Incomplete,966,966
ICR15_T1,MMS,Partially,98,966
ICR15_T1,MMS,Complete,831,966
ICR15_T1,MMS,Incomplete,37,966
ICR15_T1,Piling,Pile Casting,5747,5748
ICR15_T1,Piling,Auguring,5747,5748
ICR15_T1,Piling,Marking,5747,5748
ICR15_T1,Piling,Incomplete,1,5748
